COUNTER,INTERPOLATED,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,RAW_CQ,GYROX,GYROY,MARKER,SYNC,CQ_AF3,CQ_F7,CQ_F3,CQ_FC5,CQ_T7,CQ_P7,CQ_O1,CQ_O2,CQ_P8,CQ_T8,CQ_FC6,CQ_F4,CQ_F8,CQ_AF4,CQ_CMS,CQ_DRL
111.0,0.0,4213.333333333335,4144.102564102565,4216.923076923078,4167.692307692309,4200.512820512822,4173.846153846155,4210.256410256412,4198.97435897436,4200.512820512822,4185.128205128207,3792.3076923076937,4217.94871794872,4231.794871794873,4201.0256410256425,845.0,2047.0,2048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112.0,0.0,4212.307692307694,4152.307692307694,4208.71794871795,4168.71794871795,4192.8205128205145,4173.333333333335,4209.743589743592,4200.512820512822,4215.897435897437,4185.128205128207,3887.1794871794887,4210.256410256412,4248.20512820513,4186.153846153848,858.0,2047.0,2048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113.0,0.0,4220.512820512822,4160.000000000002,4192.8205128205145,4174.3589743589755,4172.307692307694,4168.71794871795,4183.589743589745,4202.564102564104,4223.589743589745,4185.128205128207,3863.0769230769247,4226.666666666668,4195.897435897437,4239.487179487181,88.0,2047.0,2048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114.0,0.0,4222.051282051283,4154.3589743589755,4190.769230769232,4175.384615384617,4164.615384615386,4163.076923076925,4176.410256410258,4207.179487179489,4209.743589743592,4185.128205128207,3794.8717948717963,4248.20512820513,4080.512820512822,4295.897435897437,881.0,2047.0,2048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115.0,0.0,4218.46153846154,4151.794871794873,4207.692307692309,4173.333333333335,4183.589743589745,4170.256410256412,4193.333333333335,4210.256410256412,4202.564102564104,4185.128205128207,3910.7692307692323,4241.0256410256425,4050.7692307692323,4260.512820512822,845.0,2047.0,2048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116.0,0.0,4213.846153846155,4153.846153846155,4216.923076923078,4177.435897435899,4201.0256410256425,4183.589743589745,4204.615384615386,4190.256410256412,4202.051282051283,4185.128205128207,4090.256410256412,4203.589743589745,4155.897435897437,4169.23076923077,858.0,2047.0,2048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117.0,0.0,4214.3589743589755,4148.20512820513,4219.487179487181,4180.000000000002,4199.487179487181,4177.94871794872,4200.512820512822,4178.46153846154,4187.692307692309,4185.128205128207,3999.487179487181,4209.743589743592,4122.564102564104,4191.282051282053,88.0,2047.0,2048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118.0,0.0,4218.97435897436,4150.256410256412,4210.769230769232,4179.487179487181,4182.564102564104,4167.692307692309,4188.20512820513,4194.871794871797,4182.564102564104,4185.128205128207,3958.9743589743607,4233.846153846155,4025.641025641027,4246.666666666668,881.0,2047.0,2048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119.0,0.0,4206.666666666668,4152.8205128205145,4178.97435897436,4170.769230769232,4168.20512820513,4170.769230769232,4182.051282051283,4194.3589743589755,4200.512820512822,4185.128205128207,4198.97435897436,4202.564102564104,4166.666666666668,4163.076923076925,845.0,2047.0,2048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120.0,0.0,4190.256410256412,4141.0256410256425,4174.871794871797,4156.923076923078,4181.538461538463,4166.153846153848,4185.128205128207,4179.487179487181,4211.794871794873,4185.128205128207,4275.384615384617,4190.769230769232,4316.923076923078,4107.692307692309,858.0,2047.0,2048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121.0,0.0,4195.897435897437,4138.46153846154,4197.435897435899,4157.94871794872,4192.307692307694,4158.46153846154,4194.3589743589755,4188.20512820513,4211.794871794873,4185.128205128207,4171.282051282053,4220.000000000002,4309.743589743592,4193.846153846155,88.0,2047.0,2048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122.0,0.0,4204.615384615386,4154.871794871797,4205.641025641027,4170.256410256412,4188.71794871795,4165.641025641027,4203.076923076925,4189.743589743592,4214.3589743589755,4185.128205128207,4265.128205128207,4213.846153846155,4409.23076923077,4200.000000000002,881.0,2047.0,2048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123.0,0.0,4204.615384615386,4159.487179487181,4202.051282051283,4173.846153846155,4186.666666666668,4177.94871794872,4196.923076923078,4174.871794871797,4213.333333333335,4185.128205128207,4445.128205128207,4189.23076923077,4582.564102564104,4106.666666666668,845.0,2047.0,2048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124.0,0.0,4211.282051282053,4150.769230769232,4199.487179487181,4170.256410256412,4179.487179487181,4175.897435897437,4191.282051282053,4188.71794871795,4212.8205128205145,4185.128205128207,4441.0256410256425,4197.435897435899,4541.538461538463,4134.871794871797,858.0,2047.0,2048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
