COUNTER,INTERPOLATED,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,RAW_CQ,GYROX,GYROY,MARKER,SYNC,CQ_AF3,CQ_F7,CQ_F3,CQ_FC5,CQ_T7,CQ_P7,CQ_O1,CQ_O2,CQ_P8,CQ_T8,CQ_FC6,CQ_F4,CQ_F8,CQ_AF4,CQ_CMS,CQ_DRL
118.0,0.0,4201.538461538463,4238.46153846154,4189.23076923077,4202.051282051283,4186.153846153848,4201.538461538463,4184.102564102565,4188.71794871795,4202.051282051283,4184.102564102565,4231.794871794873,4207.179487179489,4203.076923076925,4191.794871794873,856.0,2047.0,2048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119.0,0.0,4191.794871794873,4227.179487179489,4185.641025641027,4194.3589743589755,4185.641025641027,4194.871794871797,4185.128205128207,4187.692307692309,4197.94871794872,4186.153846153848,4233.333333333335,4204.102564102565,4197.435897435899,4186.666666666668,826.0,2047.0,2048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120.0,0.0,4194.3589743589755,4228.71794871795,4192.8205128205145,4194.3589743589755,4186.666666666668,4192.8205128205145,4187.692307692309,4187.179487179489,4193.846153846155,4186.666666666668,4234.871794871797,4206.666666666668,4202.564102564104,4191.794871794873,852.0,2047.0,2048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121.0,0.0,4194.3589743589755,4224.615384615386,4189.743589743592,4189.23076923077,4185.641025641027,4190.256410256412,4187.692307692309,4188.71794871795,4195.384615384617,4184.615384615386,4235.384615384617,4209.23076923077,4202.051282051283,4189.23076923077,238.0,2047.0,2048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122.0,0.0,4188.20512820513,4215.897435897437,4181.0256410256425,4184.102564102565,4184.102564102565,4183.589743589745,4174.871794871797,4185.641025641027,4194.3589743589755,4184.102564102565,4226.666666666668,4208.20512820513,4189.23076923077,4181.0256410256425,856.0,2047.0,2048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123.0,0.0,4184.102564102565,4215.897435897437,4180.512820512822,4184.102564102565,4183.076923076925,4188.20512820513,4174.871794871797,4184.102564102565,4188.20512820513,4184.615384615386,4213.333333333335,4207.179487179489,4183.589743589745,4180.512820512822,826.0,2047.0,2048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124.0,0.0,4184.102564102565,4216.410256410258,4182.564102564104,4185.641025641027,4183.589743589745,4197.435897435899,4187.179487179489,4186.666666666668,4187.179487179489,4184.615384615386,4208.71794871795,4203.589743589745,4185.641025641027,4180.000000000002,852.0,2047.0,2048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125.0,0.0,4188.20512820513,4212.307692307694,4185.641025641027,4184.102564102565,4186.666666666668,4192.8205128205145,4179.487179487181,4180.512820512822,4188.71794871795,4184.102564102565,4200.000000000002,4206.666666666668,4181.0256410256425,4173.333333333335,238.0,2047.0,2048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126.0,0.0,4187.179487179489,4209.743589743592,4181.0256410256425,4175.897435897437,4183.076923076925,4182.564102564104,4162.564102564104,4168.20512820513,4183.076923076925,4184.102564102565,4181.538461538463,4205.128205128207,4170.769230769232,4168.71794871795,856.0,2047.0,2048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127.0,0.0,4184.615384615386,4211.282051282053,4175.897435897437,4171.282051282053,4178.97435897436,4184.615384615386,4170.769230769232,4174.3589743589755,4181.538461538463,4184.102564102565,4175.384615384617,4201.0256410256425,4167.179487179489,4171.794871794873,826.0,2047.0,2048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128.0,0.0,4193.846153846155,4216.410256410258,4188.20512820513,4177.435897435899,4181.0256410256425,4189.23076923077,4187.179487179489,4189.23076923077,4181.538461538463,4184.102564102565,4185.128205128207,4208.20512820513,4169.743589743592,4181.538461538463,852.0,2047.0,2048.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
0.0,0.0,4204.615384615386,4218.97435897436,4204.615384615386,4169.23076923077,4184.615384615386,4184.102564102565,4180.000000000002,4186.666666666668,4174.3589743589755,4184.102564102565,4187.692307692309,4212.8205128205145,4172.307692307694,4188.71794871795,685.0,2047.0,2048.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
1.0,0.0,4200.000000000002,4213.333333333335,4196.923076923078,4157.435897435899,4186.153846153848,4183.076923076925,4168.20512820513,4180.000000000002,4171.794871794873,4184.102564102565,4177.94871794872,4212.307692307694,4166.153846153848,4185.641025641027,840.0,2047.0,2048.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
2.0,0.0,4193.846153846155,4206.153846153848,4177.94871794872,4165.128205128207,4182.051282051283,4188.71794871795,4170.256410256412,4184.102564102565,4176.410256410258,4184.102564102565,4169.23076923077,4211.794871794873,4154.871794871797,4183.589743589745,806.0,2047.0,2048.0,0.0,0.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
3.0,0.0,4200.512820512822,4213.333333333335,4190.769230769232,4156.410256410258,4185.128205128207,4184.615384615386,4170.256410256412,4182.564102564104,4178.46153846154,4185.128205128207,4168.71794871795,4210.769230769232,4147.179487179489,4183.076923076925,791.0,2047.0,2048.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
