COUNTER,INTERPOLATED,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,RAW_CQ,GYROX,GYROY,MARKER,SYNC,CQ_AF3,CQ_F7,CQ_F3,CQ_FC5,CQ_T7,CQ_P7,CQ_O1,CQ_O2,CQ_P8,CQ_T8,CQ_FC6,CQ_F4,CQ_F8,CQ_AF4,CQ_CMS,CQ_DRL
63.0,0.0,4172.307692307694,4174.3589743589755,4210.256410256412,4166.666666666668,4210.769230769232,4188.71794871795,4202.051282051283,4184.102564102565,4177.435897435899,4185.641025641027,4172.8205128205145,4192.8205128205145,4178.97435897436,4166.153846153848,0.0,2047.0,2048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64.0,0.0,4181.538461538463,4173.333333333335,4212.8205128205145,4169.23076923077,4198.97435897436,4185.641025641027,4194.3589743589755,4185.128205128207,4184.615384615386,4186.666666666668,4190.769230769232,4196.410256410258,4200.000000000002,4176.923076923078,686.0,2047.0,2048.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
65.0,0.0,4186.153846153848,4178.97435897436,4165.641025641027,4169.23076923077,4175.897435897437,4184.615384615386,4181.0256410256425,4197.94871794872,4190.769230769232,4187.179487179489,4201.538461538463,4198.97435897436,4215.897435897437,4190.769230769232,829.0,2047.0,2048.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
66.0,0.0,4176.923076923078,4174.3589743589755,4155.897435897437,4166.153846153848,4186.153846153848,4178.97435897436,4181.538461538463,4195.897435897437,4180.000000000002,4186.666666666668,4185.128205128207,4198.97435897436,4195.897435897437,4175.897435897437,804.0,2047.0,2048.0,0.0,0.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
67.0,0.0,4169.743589743592,4169.23076923077,4185.128205128207,4160.512820512822,4205.128205128207,4168.71794871795,4187.692307692309,4175.384615384617,4169.743589743592,4184.615384615386,4169.743589743592,4188.20512820513,4184.102564102565,4158.97435897436,796.0,2047.0,2048.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
68.0,0.0,4166.666666666668,4170.256410256412,4193.846153846155,4159.487179487181,4199.487179487181,4168.20512820513,4184.615384615386,4165.128205128207,4169.743589743592,4184.102564102565,4171.794871794873,4191.794871794873,4187.179487179489,4164.615384615386,0.0,2047.0,2048.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
69.0,0.0,4170.256410256412,4168.71794871795,4141.538461538463,4160.512820512822,4170.256410256412,4174.871794871797,4169.23076923077,4175.897435897437,4171.282051282053,4187.179487179489,4182.051282051283,4194.3589743589755,4188.20512820513,4172.8205128205145,782.0,2047.0,2048.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
70.0,0.0,4177.94871794872,4168.71794871795,4102.564102564104,4160.000000000002,4163.076923076925,4175.384615384617,4165.128205128207,4187.692307692309,4172.8205128205145,4188.20512820513,4188.20512820513,4190.769230769232,4190.256410256412,4172.307692307694,803.0,2047.0,2048.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
71.0,0.0,4184.102564102565,4177.435897435899,4177.94871794872,4162.564102564104,4200.000000000002,4172.8205128205145,4187.692307692309,4185.641025641027,4171.282051282053,4186.666666666668,4187.692307692309,4197.94871794872,4190.256410256412,4174.3589743589755,814.0,2047.0,2048.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
72.0,0.0,4186.153846153848,4189.743589743592,4268.20512820513,4171.794871794873,4225.641025641027,4175.384615384617,4205.641025641027,4173.333333333335,4165.128205128207,4184.102564102565,4183.589743589745,4193.333333333335,4188.20512820513,4179.487179487181,649.0,2047.0,2048.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
73.0,0.0,4185.128205128207,4185.641025641027,4235.384615384617,4175.384615384617,4203.076923076925,4183.076923076925,4197.435897435899,4177.435897435899,4173.846153846155,4185.128205128207,4184.102564102565,4194.3589743589755,4190.769230769232,4181.538461538463,0.0,2047.0,2048.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
74.0,0.0,4177.94871794872,4169.23076923077,4123.589743589745,4167.692307692309,4160.512820512822,4176.923076923078,4169.743589743592,4191.282051282053,4186.666666666668,4186.666666666668,4187.692307692309,4194.3589743589755,4194.3589743589755,4180.000000000002,863.0,2047.0,2048.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,4.0,4.0
75.0,0.0,4175.897435897437,4169.743589743592,4097.94871794872,4166.666666666668,4157.94871794872,4165.641025641027,4152.307692307694,4178.97435897436,4169.743589743592,4186.153846153848,4179.487179487181,4184.102564102565,4184.615384615386,4171.794871794873,820.0,2047.0,2048.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0
76.0,0.0,4178.97435897436,4182.051282051283,4188.20512820513,4175.384615384617,4200.000000000002,4175.897435897437,4179.487179487181,4162.051282051283,4149.23076923077,4185.128205128207,4167.179487179489,4187.692307692309,4169.23076923077,4161.538461538463,851.0,2047.0,2048.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,0.0,4.0,4.0,4.0,4.0
77.0,0.0,4173.846153846155,4181.0256410256425,4246.153846153848,4174.871794871797,4219.487179487181,4187.179487179489,4209.23076923077,4168.20512820513,4155.897435897437,4184.102564102565,4168.71794871795,4185.128205128207,4171.282051282053,4158.97435897436,352.0,2047.0,2048.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0
78.0,0.0,4177.94871794872,4181.0256410256425,4205.641025641027,4171.794871794873,4195.384615384617,4182.564102564104,4184.615384615386,4171.282051282053,4163.076923076925,4185.128205128207,4174.871794871797,4188.71794871795,4181.0256410256425,4168.20512820513,863.0,2047.0,2048.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0
79.0,0.0,4188.71794871795,4190.769230769232,4121.0256410256425,4176.410256410258,4156.410256410258,4183.076923076925,4149.23076923077,4176.923076923078,4167.692307692309,4190.256410256412,4180.000000000002,4197.94871794872,4183.589743589745,4176.923076923078,820.0,2047.0,2048.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0
80.0,0.0,4188.71794871795,4191.794871794873,4109.23076923077,4178.46153846154,4156.410256410258,4189.743589743592,4165.641025641027,4194.3589743589755,4184.102564102565,4188.20512820513,4189.743589743592,4195.897435897437,4185.128205128207,4178.46153846154,851.0,2047.0,2048.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0
81.0,0.0,4187.692307692309,4191.282051282053,4219.487179487181,4178.46153846154,4207.692307692309,4193.333333333335,4212.8205128205145,4194.3589743589755,4184.615384615386,4184.615384615386,4192.307692307694,4199.487179487181,4188.20512820513,4176.923076923078,352.0,2047.0,2048.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0
