COUNTER,INTERPOLATED,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,RAW_CQ,GYROX,GYROY,MARKER,SYNC,CQ_AF3,CQ_F7,CQ_F3,CQ_FC5,CQ_T7,CQ_P7,CQ_O1,CQ_O2,CQ_P8,CQ_T8,CQ_FC6,CQ_F4,CQ_F8,CQ_AF4,CQ_CMS,CQ_DRL
126.0,0.0,4180.512820512822,4172.307692307694,4182.051282051283,4185.641025641027,4183.589743589745,4204.102564102565,4191.282051282053,4189.743589743592,4201.0256410256425,4185.128205128207,4187.692307692309,4200.000000000002,4194.3589743589755,4184.102564102565,860.0,2047.0,2048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127.0,0.0,4183.589743589745,4172.8205128205145,4191.282051282053,4183.076923076925,4192.307692307694,4198.46153846154,4186.666666666668,4187.692307692309,4200.000000000002,4185.641025641027,4180.000000000002,4211.282051282053,4184.102564102565,4185.128205128207,832.0,2047.0,2048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128.0,0.0,4183.589743589745,4179.487179487181,4186.153846153848,4193.333333333335,4182.051282051283,4191.282051282053,4169.743589743592,4170.769230769232,4186.153846153848,4187.179487179489,4181.538461538463,4203.076923076925,4179.487179487181,4184.102564102565,855.0,2047.0,2048.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
0.0,0.0,4186.666666666668,4182.051282051283,4196.410256410258,4200.000000000002,4195.384615384617,4201.538461538463,4183.589743589745,4181.0256410256425,4189.743589743592,4185.128205128207,4182.564102564104,4206.153846153848,4185.128205128207,4186.153846153848,708.0,2047.0,2048.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
1.0,0.0,4179.487179487181,4174.871794871797,4191.282051282053,4190.769230769232,4191.282051282053,4209.743589743592,4203.589743589745,4200.512820512822,4205.128205128207,4183.076923076925,4175.384615384617,4208.20512820513,4181.0256410256425,4184.102564102565,836.0,2047.0,2048.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
2.0,0.0,4171.794871794873,4172.307692307694,4173.846153846155,4185.128205128207,4179.487179487181,4202.564102564104,4195.384615384617,4194.3589743589755,4204.102564102565,4184.615384615386,4173.333333333335,4203.589743589745,4175.897435897437,4181.538461538463,767.0,2047.0,2048.0,0.0,0.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
3.0,0.0,4174.3589743589755,4174.871794871797,4186.153846153848,4190.769230769232,4195.897435897437,4196.410256410258,4184.615384615386,4188.20512820513,4196.410256410258,4186.153846153848,4178.97435897436,4208.20512820513,4181.538461538463,4184.102564102565,809.0,2047.0,2048.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
4.0,0.0,4175.897435897437,4173.846153846155,4188.71794871795,4190.769230769232,4185.641025641027,4194.3589743589755,4184.102564102565,4190.769230769232,4194.3589743589755,4183.589743589745,4174.3589743589755,4200.512820512822,4185.128205128207,4184.615384615386,0.0,2047.0,2048.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
5.0,0.0,4183.076923076925,4177.94871794872,4188.20512820513,4191.282051282053,4188.20512820513,4191.794871794873,4177.435897435899,4183.076923076925,4196.410256410258,4183.589743589745,4164.615384615386,4205.641025641027,4183.589743589745,4185.128205128207,791.0,2047.0,2048.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
6.0,0.0,4188.71794871795,4183.589743589745,4190.769230769232,4198.97435897436,4188.20512820513,4193.333333333335,4174.3589743589755,4182.564102564104,4202.564102564104,4186.153846153848,4177.94871794872,4209.743589743592,4190.256410256412,4188.20512820513,806.0,2047.0,2048.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
7.0,0.0,4181.0256410256425,4180.512820512822,4185.128205128207,4199.487179487181,4184.615384615386,4200.000000000002,4183.589743589745,4187.692307692309,4201.538461538463,4186.153846153848,4188.20512820513,4197.94871794872,4195.384615384617,4185.128205128207,837.0,2047.0,2048.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
8.0,0.0,4177.435897435899,4174.871794871797,4189.743589743592,4195.384615384617,4199.487179487181,4199.487179487181,4189.23076923077,4182.051282051283,4196.410256410258,4185.641025641027,4174.871794871797,4201.0256410256425,4191.282051282053,4184.102564102565,613.0,2047.0,2048.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
9.0,0.0,4183.589743589745,4181.0256410256425,4184.615384615386,4191.794871794873,4184.615384615386,4196.410256410258,4181.538461538463,4180.512820512822,4200.512820512822,4185.641025641027,4169.23076923077,4202.564102564104,4191.794871794873,4188.71794871795,0.0,2047.0,2048.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
10.0,0.0,4187.179487179489,4190.769230769232,4185.641025641027,4190.769230769232,4189.23076923077,4201.538461538463,4174.871794871797,4183.589743589745,4202.564102564104,4184.615384615386,4172.307692307694,4208.20512820513,4190.769230769232,4186.153846153848,861.0,2047.0,2048.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,4.0,4.0
11.0,0.0,4184.615384615386,4182.051282051283,4187.692307692309,4187.179487179489,4194.3589743589755,4202.051282051283,4177.435897435899,4185.128205128207,4198.97435897436,4183.589743589745,4169.23076923077,4207.692307692309,4184.102564102565,4180.512820512822,832.0,2047.0,2048.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0
12.0,0.0,4187.179487179489,4172.8205128205145,4187.179487179489,4182.564102564104,4187.692307692309,4200.000000000002,4184.102564102565,4186.666666666668,4198.97435897436,4185.128205128207,4165.128205128207,4200.000000000002,4181.538461538463,4184.102564102565,855.0,2047.0,2048.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,0.0,4.0,4.0,4.0,4.0
13.0,0.0,4194.3589743589755,4178.46153846154,4209.743589743592,4191.282051282053,4203.076923076925,4205.641025641027,4191.282051282053,4185.641025641027,4200.000000000002,4185.128205128207,4165.128205128207,4210.769230769232,4183.589743589745,4188.20512820513,601.0,2047.0,2048.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0
14.0,0.0,4195.897435897437,4186.153846153848,4201.0256410256425,4203.589743589745,4188.20512820513,4209.743589743592,4194.3589743589755,4187.692307692309,4202.564102564104,4184.615384615386,4174.3589743589755,4209.743589743592,4192.307692307694,4188.20512820513,861.0,2047.0,2048.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0
15.0,0.0,4193.846153846155,4187.692307692309,4184.102564102565,4192.8205128205145,4186.666666666668,4206.153846153848,4190.769230769232,4188.71794871795,4203.076923076925,4186.153846153848,4182.051282051283,4207.179487179489,4195.897435897437,4188.71794871795,832.0,2047.0,2048.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0
16.0,0.0,4189.23076923077,4177.94871794872,4193.333333333335,4180.000000000002,4194.871794871797,4198.97435897436,4182.564102564104,4181.538461538463,4200.000000000002,4185.128205128207,4172.8205128205145,4205.641025641027,4187.692307692309,4185.128205128207,0.0,2047.0,2048.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0
17.0,0.0,4190.256410256412,4173.846153846155,4201.538461538463,4191.282051282053,4186.666666666668,4196.923076923078,4181.538461538463,4180.000000000002,4198.97435897436,4184.102564102565,4166.153846153848,4202.564102564104,4186.666666666668,4185.641025641027,0.0,2047.0,2048.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0
18.0,0.0,4198.46153846154,4185.128205128207,4209.23076923077,4196.923076923078,4197.435897435899,4199.487179487181,4184.615384615386,4183.076923076925,4197.94871794872,4185.128205128207,4173.846153846155,4216.923076923078,4195.897435897437,4192.8205128205145,0.0,2047.0,2048.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0
