COUNTER,INTERPOLATED,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,RAW_CQ,GYROX,GYROY,MARKER,SYNC,CQ_AF3,CQ_F7,CQ_F3,CQ_FC5,CQ_T7,CQ_P7,CQ_O1,CQ_O2,CQ_P8,CQ_T8,CQ_FC6,CQ_F4,CQ_F8,CQ_AF4,CQ_CMS,CQ_DRL
95.0,0.0,4310.256410256412,4295.897435897437,4269.743589743592,4257.94871794872,4182.051282051283,4209.23076923077,4193.846153846155,4213.333333333335,4218.97435897436,4189.23076923077,4210.256410256412,4289.743589743592,4285.641025641027,4329.23076923077,820.0,2036.0,2047.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96.0,0.0,4281.0256410256425,4288.20512820513,4246.153846153848,4229.743589743592,4186.666666666668,4202.564102564104,4196.410256410258,4207.179487179489,4209.23076923077,4181.0256410256425,4196.923076923078,4264.615384615386,4250.256410256412,4299.487179487181,842.0,2036.0,2045.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97.0,0.0,4258.46153846154,4260.512820512822,4227.692307692309,4217.94871794872,4186.666666666668,4200.512820512822,4209.23076923077,4212.307692307694,4213.333333333335,4182.564102564104,4198.97435897436,4250.256410256412,4229.23076923077,4272.8205128205145,847.0,2035.0,2041.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98.0,0.0,4245.128205128207,4226.666666666668,4227.179487179489,4217.94871794872,4184.102564102565,4200.000000000002,4196.923076923078,4218.97435897436,4231.794871794873,4193.846153846155,4214.3589743589755,4248.71794871795,4224.102564102565,4250.256410256412,861.0,2035.0,2030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99.0,0.0,4218.46153846154,4205.128205128207,4216.410256410258,4192.8205128205145,4187.179487179489,4198.97435897436,4167.692307692309,4206.153846153848,4234.871794871797,4192.307692307694,4211.282051282053,4230.769230769232,4200.000000000002,4223.076923076925,820.0,2036.0,2025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,0.0,4206.666666666668,4203.076923076925,4209.743589743592,4191.794871794873,4188.71794871795,4199.487179487181,4184.102564102565,4197.94871794872,4222.564102564104,4186.666666666668,4201.538461538463,4221.538461538463,4186.153846153848,4212.307692307694,842.0,2033.0,2018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101.0,0.0,4211.794871794873,4202.051282051283,4215.384615384617,4215.897435897437,4186.666666666668,4202.564102564104,4209.743589743592,4204.615384615386,4207.179487179489,4185.128205128207,4195.384615384617,4234.871794871797,4192.307692307694,4207.692307692309,847.0,2030.0,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102.0,0.0,4186.153846153848,4182.051282051283,4200.512820512822,4190.256410256412,4187.692307692309,4201.538461538463,4188.71794871795,4197.435897435899,4185.641025641027,4175.384615384617,4173.846153846155,4221.538461538463,4171.282051282053,4183.076923076925,861.0,2030.0,2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103.0,0.0,4148.71794871795,4161.538461538463,4172.8205128205145,4150.769230769232,4186.153846153848,4197.94871794872,4165.641025641027,4177.435897435899,4171.794871794873,4167.179487179489,4155.384615384617,4186.666666666668,4135.897435897437,4153.846153846155,820.0,2030.0,2009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104.0,0.0,4144.615384615386,4162.564102564104,4170.256410256412,4163.076923076925,4183.589743589745,4198.46153846154,4171.794871794873,4175.384615384617,4179.487179487181,4170.256410256412,4163.076923076925,4180.000000000002,4131.794871794873,4147.692307692309,842.0,2036.0,2008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
