epoch,loss,val_loss
0,1.1920930376163597e-07,1.1920930376163597e-07
1,1.1920930376163597e-07,1.1920930376163597e-07
2,1.1920930376163597e-07,1.1920930376163597e-07
3,1.1920930376163597e-07,1.1920930376163597e-07
4,1.1920930376163597e-07,1.1920930376163597e-07
5,1.1920930376163597e-07,1.1920930376163597e-07
6,1.1920930376163597e-07,1.1920930376163597e-07
7,1.1920930376163597e-07,1.1920930376163597e-07
8,1.1920930376163597e-07,1.1920930376163597e-07
9,1.1920930376163597e-07,1.1920930376163597e-07
